Resistor_Name,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Value,Unit
A26Metal0Top0_3_4,0.03150000000000001,0.035,-0.05625000000000002,0.03149999999999997,0.05299999999999999,-0.05624949222756171,320.33662603431185,Ohm
A26Metal0Top1_0_1,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.05850000000000003,0.1380000000000001,-0.056250000000000064,3751.0664203240362,Ohm
A26Metal0Top1_0_2,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.058499999999999996,0.1920000000000001,-0.056249999999999994,205.36181586824105,Ohm
A26Metal0Top1_0_3,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.07650000000000001,0.19199999999999995,-0.05625000000000002,199.35318467682055,Ohm
A26Metal0Top1_0_4,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.07650000000000001,0.13799999999999996,-0.05625000000000002,3651.85841398882,Ohm
A26Metal0Top1_0_5,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.05850000000000002,0.15600000000000006,-0.05625000000000001,1629.0296272051091,Ohm
A26Metal0Top1_0_6,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.07650000000000001,0.15600000000000003,-0.05625000000000003,1593.4644171169211,Ohm
A26Metal0Top1_0_7,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.058500000000000045,0.1740000000000001,-0.056249492227561704,619.4404795442479,Ohm
A26Metal0Top1_0_8,0.06749999999999999,0.23199999999999996,0.006250000000000007,0.07649999999999996,0.1740000000000001,-0.0562494922275617,601.37415513963,Ohm
A26Metal0Top1_1_2,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.058499999999999996,0.1920000000000001,-0.056249999999999994,19578.549627021464,Ohm
A26Metal0Top1_1_3,0.05850000000000003,0.1380000000000001,-0.056250000000000064,0.07650000000000001,0.19199999999999995,-0.05625000000000002,19257.762681550925,Ohm
